--- Execution profile ---
Total samples       : 2850

          ns  percent  samples  top
    25000000    0.18%        5  Node::set_req_X
    25000000    0.18%        5  void OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<TypeArrayKlass, narrowOop>
    25000000    0.18%        5  GenericTaskQueueSet<OverflowTaskQueue<ScannerTask, (MemTag)5, 131072u>, (MemTag)5>::steal_best_of_2
    25000000    0.18%        5  /private/var/folders/0m/x3jzy4t15djd88znchzzx1_h0000gn/T/lwjgl_havardottestad/3.3.6-snapshot/arm64/liblwjgl_lmdb.dylib
    25000000    0.18%        5  Node::is_CFG
    25000000    0.18%        5  Node::Node
    25000000    0.18%        5  PhaseChaitin::gather_lrg_masks
    25000000    0.18%        5  MultiNode::is_CFG
    25000000    0.18%        5  pthread_jit_write_protect_np
    25000000    0.18%        5  java.lang.String.coder
    25000000    0.18%        5  vmSymbols::find_sid
    20000000    0.14%        4  java.util.Arrays.binarySearch0
    20000000    0.14%        4  LinearScanWalker::free_collect_inactive_fixed
    20000000    0.14%        4  TaskTerminator::offer_termination
    20000000    0.14%        4  large_arrays_hashcode_boolean_stub
    20000000    0.14%        4  PhaseIdealLoop::build_loop_tree
    20000000    0.14%        4  PhaseIdealLoop::build_loop_late_post_work
    20000000    0.14%        4  void ObjArrayKlass::oop_oop_iterate_elements_bounded<narrowOop, G1MarkAndPushClosure>
    20000000    0.14%        4  void G1ScanCardClosure::do_oop_work<narrowOop>
    20000000    0.14%        4  PhaseCFG::partial_latency_of_defs
    20000000    0.14%        4  java.util.Objects.checkIndex
    20000000    0.14%        4  java.util.HashMap.resize
    20000000    0.14%        4  _xzm_xzone_malloc_tiny
    20000000    0.14%        4  PhaseCCP::transform
    20000000    0.14%        4  add_call_kills
    20000000    0.14%        4  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseString
    20000000    0.14%        4  Dictionary::find_class
    20000000    0.14%        4  java.lang.String.charAt
    20000000    0.14%        4  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseNodeID
    20000000    0.14%        4  G1AdjustLiveClosure::apply
    20000000    0.14%        4  G1BlockOffsetTable::update_for_block_work
    20000000    0.14%        4  MarkBitMap::check_mark
    20000000    0.14%        4  java.util.ArrayList$Itr.next
    20000000    0.14%        4  java.nio.charset.CharsetDecoder.decode
    20000000    0.14%        4  java.nio.Buffer.<init>
    20000000    0.14%        4  java.nio.ByteBuffer.arrayOffset
    20000000    0.14%        4  G1RegionMarkStatsCache::add_live_words
    15000000    0.11%        3  itable stub
    15000000    0.11%        3  Node::unique_ctrl_out_or_null
    15000000    0.11%        3  ProjNode::is_CFG
    15000000    0.11%        3  RegionNode::Opcode
    15000000    0.11%        3  java.nio.ByteBuffer.hasArray
    15000000    0.11%        3  java.nio.HeapByteBuffer.put
    15000000    0.11%        3  PhiNode::Opcode
    15000000    0.11%        3  java.nio.Buffer.nextPutIndex
    15000000    0.11%        3  Node_Backward_Iterator::next
    15000000    0.11%        3  G1ScanHRForRegionClosure::scan_heap_roots
    15000000    0.11%        3  java.lang.invoke.DirectMethodHandle.allocateInstance
    15000000    0.11%        3  Type::Initialize_shared(Compile*)::$_0::__invoke
    15000000    0.11%        3  G1RebuildRSAndScrubTask::G1RebuildRSAndScrubRegionClosure::scan_and_scrub_region
    15000000    0.11%        3  TypeInstPtr::make
    15000000    0.11%        3  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    15000000    0.11%        3  G1ParScanThreadState::record_evacuation_failed_region
    15000000    0.11%        3  PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
    15000000    0.11%        3  G1ParScanThreadState::handle_evacuation_failure_par
    15000000    0.11%        3  void OopOopIterateDispatch<G1RootRegionScanClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    15000000    0.11%        3  jdk.internal.misc.Unsafe.convEndian
    15000000    0.11%        3  org.eclipse.rdf4j.common.net.ParsedIRI.advance
    15000000    0.11%        3  org.eclipse.rdf4j.model.impl.GenericStatement.getContext
    15000000    0.11%        3  ClassLoaderData::oops_do
    15000000    0.11%        3  unsafe_arraycopy_stub
    15000000    0.11%        3  sun.nio.cs.StreamDecoder.implRead
    15000000    0.11%        3  G1CMBitMap::iterate
    15000000    0.11%        3  java.util.ArrayList.elementData
    15000000    0.11%        3  org.eclipse.rdf4j.model.base.AbstractLiteral.equals
    15000000    0.11%        3  _tlv_get_addr
    15000000    0.11%        3  org.eclipse.rdf4j.model.base.AbstractBNode.hashCode
    15000000    0.11%        3  org.eclipse.rdf4j.model.Literal.getType
    15000000    0.11%        3  _xzm_xzone_malloc_small_freelist
    15000000    0.11%        3  IndexSet::insert
    15000000    0.11%        3  arrayof_jbyte_disjoint_arraycopy_stub
    15000000    0.11%        3  pwrite
    15000000    0.11%        3  os::javaTimeNanos
    15000000    0.11%        3  java.lang.Character.isSupplementaryCodePoint
    15000000    0.11%        3  org.eclipse.rdf4j.sail.base.SailSourceConnection$2.next
    15000000    0.11%        3  RegMask::overlap
    15000000    0.11%        3  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseURI
    10000000    0.07%        2  LinearScan::compute_local_live_sets
    10000000    0.07%        2  Reflection::verify_class_access
    10000000    0.07%        2  java.lang.AbstractStringBuilder.append
    10000000    0.07%        2  org.eclipse.rdf4j.rio.turtle.TurtleParser.unread
    10000000    0.07%        2  org.eclipse.rdf4j.rio.turtle.TurtleUtil.isPN_CHARS_BASE
    10000000    0.07%        2  Node::pinned
    10000000    0.07%        2  GraphBuilder::try_inline_full
    10000000    0.07%        2  I2C/C2I adapters(0xb)
    10000000    0.07%        2  ConnectionGraph::compute_escape
    10000000    0.07%        2  iRegINoSpOper::type
    10000000    0.07%        2  org.lwjgl.util.lmdb.LMDB.nmdb_put
    10000000    0.07%        2  fwd_copy_aligned
    10000000    0.07%        2  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseQNameOrBoolean
    10000000    0.07%        2  java.util.HashMap.put
    10000000    0.07%        2  Compile::identify_useful_nodes
    10000000    0.07%        2  Compile::find_alias_type
    10000000    0.07%        2  ciTypeFlow::Block::successors
    10000000    0.07%        2  ciInstanceKlass::get_field_type_by_offset
    10000000    0.07%        2  bsearch
    10000000    0.07%        2  branchNode::is_block_proj
    10000000    0.07%        2  Compile::final_graph_reshaping_walk
    10000000    0.07%        2  java.lang.Integer.intValue
    10000000    0.07%        2  GrowableArrayWithAllocator<int, GrowableArray<int>>::expand_to
    10000000    0.07%        2  java.lang.Integer.valueOf
    10000000    0.07%        2  IndexSet::IndexSet
    10000000    0.07%        2  org.eclipse.rdf4j.common.net.ParsedIRI.isMember
    10000000    0.07%        2  Node::del_req
    10000000    0.07%        2  java.lang.String.checkIndex
