--- Execution profile ---
Total samples       : 9832

          ns  percent  samples  top
    40000000    0.08%        8  count_positives_stub
    40000000    0.08%        8  PhaseChaitin::post_allocate_copy_removal
    40000000    0.08%        8  java.lang.VirtualThread.getAndClearInterrupt
    40000000    0.08%        8  Type::Initialize_shared(Compile*)::$_0::__invoke
    40000000    0.08%        8  PhaseIdealLoop::build_loop_late
    40000000    0.08%        8  java.nio.DirectByteBuffer.put
    40000000    0.08%        8  org.eclipse.rdf4j.sail.base.SailSourceConnection.addStatement
    40000000    0.08%        8  Arena::contains
    40000000    0.08%        8  G1FullGCResetMetadataTask::G1ResetMetadataClosure::scrub_skip_compacting_region
    40000000    0.08%        8  mach_msg2_trap
    35000000    0.07%        7  java.util.HashMap.put
    35000000    0.07%        7  Node_Backward_Iterator::next
    35000000    0.07%        7  org.eclipse.rdf4j.sail.lmdb.LmdbUtil.requiresResize
    35000000    0.07%        7  PhaseChaitin::gather_lrg_masks
    35000000    0.07%        7  large_arrays_hashcode_boolean_stub
    35000000    0.07%        7  java.nio.ByteBuffer.order
    35000000    0.07%        7  zero_blocks_stub
    35000000    0.07%        7  org.eclipse.rdf4j.sail.lmdb.ValueStore.lambda$incrementRefCount$0
    35000000    0.07%        7  java.util.Arrays.fill
    35000000    0.07%        7  PhaseIFG::effective_degree
    35000000    0.07%        7  java.util.Arrays.binarySearch0
    30000000    0.06%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.getNamespaceID
    30000000    0.06%        6  _tlv_get_addr
    30000000    0.06%        6  Compile::disconnect_useless_nodes
    30000000    0.06%        6  java.util.concurrent.ConcurrentHashMap.addCount
    30000000    0.06%        6  Matcher::xform
    30000000    0.06%        6  Matcher::Label_Root
    30000000    0.06%        6  Node::set_req
    30000000    0.06%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.cacheStoredId
    30000000    0.06%        6  G1FullGCCompactTask::compact_region
    30000000    0.06%        6  org.eclipse.rdf4j.sail.lmdb.model.LmdbIRI.hashCode
    30000000    0.06%        6  java.lang.String.length
    25000000    0.05%        5  java.nio.charset.CharsetDecoder.decode
    25000000    0.05%        5  Dict::Insert
    25000000    0.05%        5  Node::add_req
    25000000    0.05%        5  bsearch
    25000000    0.05%        5  PhaseIdealLoop::build_loop_early
    25000000    0.05%        5  org.eclipse.rdf4j.sail.lmdb.ValueStore.value2data
    25000000    0.05%        5  PhaseIterGVN::add_users_of_use_to_worklist
    25000000    0.05%        5  __open
    25000000    0.05%        5  java.nio.ByteBuffer.hasArray
    25000000    0.05%        5  org.eclipse.rdf4j.sail.lmdb.ValueStore$BatchIdStorer.findLargeId
    25000000    0.05%        5  G1FullGCMarker::publish_and_drain_oop_tasks
    25000000    0.05%        5  sun.nio.cs.StreamDecoder.implRead
    25000000    0.05%        5  sun.nio.cs.StreamDecoder.read
    25000000    0.05%        5  java.lang.Character.offsetByCodePoints
