--- Execution profile ---
Total samples       : 6594

          ns  percent  samples  top
    35000000    0.11%        7  Compile::identify_useful_nodes
    35000000    0.11%        7  Node::set_req_X
    35000000    0.11%        7  Compile::find_alias_type
    35000000    0.11%        7  PhaseIterGVN::subsume_node
    35000000    0.11%        7  PhaseCFG::partial_latency_of_defs
    35000000    0.11%        7  org.eclipse.rdf4j.model.impl.SimpleLiteral.hashCode
    35000000    0.11%        7  java.util.HashMap.hash
    35000000    0.11%        7  org.lwjgl.util.lmdb.LMDB.nmdb_put
    35000000    0.11%        7  java.util.concurrent.ConcurrentHashMap.get
    35000000    0.11%        7  PhaseIFG::SquareUp
    30000000    0.09%        6  org.eclipse.rdf4j.sail.base.SailSourceConnection.addStatement
    30000000    0.09%        6  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$BulkAddQuadsOperation.add
    30000000    0.09%        6  java.nio.ByteBuffer.arrayOffset
    30000000    0.09%        6  org.eclipse.rdf4j.common.net.ParsedIRI.parsePctEncoded
    30000000    0.09%        6  java.lang.AbstractStringBuilder.needsNewBuffer
    30000000    0.09%        6  bsearch
    30000000    0.09%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.getStoredHash
    30000000    0.09%        6  java.lang.String.checkIndex
    30000000    0.09%        6  org.eclipse.rdf4j.sail.base.SailSourceConnection.add
    30000000    0.09%        6  G1FullGCCompactTask::copy_object_to_new_location
    30000000    0.09%        6  java.lang.String.encodeUTF8
    30000000    0.09%        6  fwd_copy_drain
    30000000    0.09%        6  stub:memcpy
    30000000    0.09%        6  IndexSet::insert
    30000000    0.09%        6  Unique_Node_List::remove
    30000000    0.09%        6  java.util.Arrays.fill
    30000000    0.09%        6  sun.nio.cs.StreamDecoder.read
    30000000    0.09%        6  java.lang.String.length
    30000000    0.09%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.lambda$incrementRefCount$0
    30000000    0.09%        6  jbyte_disjoint_arraycopy_stub
    30000000    0.09%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.incrementRefCount
    25000000    0.08%        5  PhaseLive::compute
    25000000    0.08%        5  org.eclipse.rdf4j.model.impl.GenericStatement.getContext
    25000000    0.08%        5  PhaseIdealLoop::build_loop_late_post_work
    25000000    0.08%        5  PhaseChaitin::post_allocate_copy_removal
    25000000    0.08%        5  PhaseOutput::BuildOopMaps
    25000000    0.08%        5  java.lang.String.encodeUTF8_UTF16
    25000000    0.08%        5  java.util.HashMap.getNode
    25000000    0.08%        5  ProjNode::is_CFG
    25000000    0.08%        5  BarrierSetC2::compute_liveness_at_stubs
    25000000    0.08%        5  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore.idleSpin
    25000000    0.08%        5  Matcher::xform
    25000000    0.08%        5  java.nio.ByteBuffer.hasArray
    25000000    0.08%        5  PhaseIdealLoop::is_dominator
    25000000    0.08%        5  _xzm_xzone_malloc_small_freelist
    25000000    0.08%        5  MultiNode::is_CFG
    25000000    0.08%        5  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseURI
    25000000    0.08%        5  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    25000000    0.08%        5  Matcher::match_tree
    25000000    0.08%        5  java.lang.AbstractStringBuilder.append
    25000000    0.08%        5  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.isNonSentinel
    25000000    0.08%        5  java.util.HashSet.add
    20000000    0.06%        4  BarrierSetAssembler::refine_register
    20000000    0.06%        4  arrayof_jlong_disjoint_arraycopy_stub
    20000000    0.06%        4  org.eclipse.rdf4j.common.net.ParsedIRI.advance
    20000000    0.06%        4  Compile::copy_node_notes_to
    20000000    0.06%        4  IntervalWalker::walk_to
    20000000    0.06%        4  Dict::Insert
    20000000    0.06%        4  G1FullGCCompactTask::compact_region
    20000000    0.06%        4  java.lang.StringUTF16.compress
    20000000    0.06%        4  java.lang.StringLatin1.indexOf
    20000000    0.06%        4  G1FullGCMarker::publish_and_drain_oop_tasks
    20000000    0.06%        4  sun.nio.cs.StreamDecoder.ensureOpen
    20000000    0.06%        4  PhaseCFG::schedule_pinned_nodes
    20000000    0.06%        4  PhaseChaitin::stretch_base_pointer_live_ranges
    20000000    0.06%        4  org.eclipse.rdf4j.sail.lmdb.ValueStore.updateRefCounts
    20000000    0.06%        4  copy_byte_f_stub
    20000000    0.06%        4  void ObjArrayKlass::oop_oop_iterate_elements_bounded<narrowOop, G1MarkAndPushClosure>
    20000000    0.06%        4  G1FullGCPrepareTask::G1CalculatePointersClosure::prepare_for_compaction
    20000000    0.06%        4  TypeInterfaces::eq
    20000000    0.06%        4  PhaseCFG::schedule_early
    20000000    0.06%        4  void OopOopIterateDispatch<G1ScanCardClosure>::Table::oop_oop_iterate<InstanceKlass, narrowOop>
    20000000    0.06%        4  PhaseIdealLoop::split_if_with_blocks
    20000000    0.06%        4  org.eclipse.rdf4j.sail.lmdb.model.LmdbIRI.hashCode
    20000000    0.06%        4  org.eclipse.rdf4j.sail.lmdb.model.LmdbIRI.equals
    20000000    0.06%        4  PhiNode::is_unsafe_data_reference
    20000000    0.06%        4  PhaseIdealLoop::build_loop_tree
    20000000    0.06%        4  __unlink
    20000000    0.06%        4  Matcher::Label_Root
    20000000    0.06%        4  PhaseIdealLoop::get_early_ctrl
    20000000    0.06%        4  __psynch_mutexdrop
    20000000    0.06%        4  sun.nio.cs.UTF_8$Decoder.decodeArrayLoop
    15000000    0.05%        3  RegularPredicateBlockIterator::RegularPredicateBlockIterator
    15000000    0.05%        3  org.eclipse.rdf4j.model.impl.DynamicModel.isEmpty
    15000000    0.05%        3  org.eclipse.rdf4j.rio.turtle.TurtleUtil.isPN_CHARS_BASE
    15000000    0.05%        3  java.util.HashMap.put
    15000000    0.05%        3  java.util.concurrent.ConcurrentHashMap.addCount
    15000000    0.05%        3  Scheduling::anti_do_def
    15000000    0.05%        3  MachNode::rematerialize
    15000000    0.05%        3  Type::Initialize_shared(Compile*)::$_0::__invoke
    15000000    0.05%        3  PhiNode::Ideal
    15000000    0.05%        3  MergeMemNode::Ideal
    15000000    0.05%        3  TypeInt::eq
    15000000    0.05%        3  java.util.concurrent.ForkJoinPool.signalWork
    15000000    0.05%        3  BitMap::set_union
    15000000    0.05%        3  ValueRecorder<Metadata*>::maybe_find_index
