--- Execution profile ---
Total samples       : 2579

          ns  percent  samples  top
    25000000    0.19%        5  org.eclipse.rdf4j.sail.lmdb.TripleIndex.toKey
    25000000    0.19%        5  java.nio.ByteBuffer.hasArray
    25000000    0.19%        5  _tlv_get_addr
    25000000    0.19%        5  PhaseIdealLoop::dom_lca_for_get_late_ctrl_internal
    25000000    0.19%        5  org.eclipse.rdf4j.model.base.AbstractLiteral.hashCode
    25000000    0.19%        5  java.util.ArrayList.add
    25000000    0.19%        5  sun.nio.cs.StreamDecoder.implRead
    25000000    0.19%        5  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.spread
    25000000    0.19%        5  PhaseChaitin::Select
    25000000    0.19%        5  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseQNameOrBoolean
    25000000    0.19%        5  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.put
    25000000    0.19%        5  vtable stub
    25000000    0.19%        5  PhaseIterGVN::subsume_node
    20000000    0.16%        4  java.nio.DirectByteBuffer.ix
    20000000    0.16%        4  java.lang.String.codePointAt
    20000000    0.16%        4  zero_blocks
    20000000    0.16%        4  BoolNode::Opcode
    20000000    0.16%        4  mach_absolute_time
    20000000    0.16%        4  resource_allocate_bytes
    20000000    0.16%        4  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.toNonSentinel
    20000000    0.16%        4  NodeHash::hash_find_insert
    20000000    0.16%        4  BarrierSetC2::compute_liveness_at_stubs
    20000000    0.16%        4  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.spread
    20000000    0.16%        4  org.eclipse.rdf4j.sail.lmdb.ValueStore.addPreparedValueRecord
    20000000    0.16%        4  fwd_copy_drain
    20000000    0.16%        4  PhaseOutput::BuildOopMaps
    20000000    0.16%        4  PhaseAggressiveCoalesce::insert_copies
    20000000    0.16%        4  updateBytesCRC32
    20000000    0.16%        4  PhaseIFG::remove_node
    20000000    0.16%        4  org.eclipse.rdf4j.common.net.ParsedIRI.peek
    20000000    0.16%        4  PhaseCFG::sched_call
    20000000    0.16%        4  _platform_strcmp$VARIANT$Base
    20000000    0.16%        4  org.eclipse.rdf4j.sail.lmdb.TripleIndex$$Lambda.0x000001e00110a8e8.get
    20000000    0.16%        4  Type::Initialize_shared(Compile*)::$_0::__invoke
    20000000    0.16%        4  DebugInformationRecorder::describe_scope
    20000000    0.16%        4  org.eclipse.rdf4j.rio.turtle.TurtleParser.parseURI
    20000000    0.16%        4  org.eclipse.rdf4j.rio.turtle.TurtleParser.unread
    15000000    0.12%        3  TypeOopPtr::TypeOopPtr
    15000000    0.12%        3  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.nullSafeEquals
    15000000    0.12%        3  PhiNode::Opcode
    15000000    0.12%        3  TypeInstPtr::hash
    15000000    0.12%        3  BarrierSetAssembler::refine_register
    15000000    0.12%        3  PhaseIterGVN::add_users_of_use_to_worklist
    15000000    0.12%        3  PhaseIdealLoop::is_dominator
    15000000    0.12%        3  org.lwjgl.system.Pointer$Default.address
    15000000    0.12%        3  org.eclipse.rdf4j.sail.lmdb.util.IndexKeyWriters$CachingKeyWriter.write
    15000000    0.12%        3  org.eclipse.rdf4j.sail.lmdb.ValueStore.assignFreshValues
    15000000    0.12%        3  java.lang.StringUTF16.compress
    15000000    0.12%        3  org.eclipse.rdf4j.sail.lmdb.ValueStore$PreparedValueBatch.releasePersistenceData
    15000000    0.12%        3  PhaseIFG::effective_degree
    15000000    0.12%        3  java.lang.String.length
    15000000    0.12%        3  org.eclipse.rdf4j.sail.lmdb.TripleStore.sortMainIndexOrder
    15000000    0.12%        3  PhaseChaitin::raise_pressure
    15000000    0.12%        3  PhaseChaitin::post_allocate_copy_removal
    15000000    0.12%        3  PhaseChaitin::build_ifg_virtual
    15000000    0.12%        3  org.eclipse.rdf4j.sail.lmdb.PreparedStatementBatch.copyOf
    15000000    0.12%        3  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.slot
    15000000    0.12%        3  mkdir
    15000000    0.12%        3  org.eclipse.rdf4j.rio.turtle.TurtleParser.skipWSC
    15000000    0.12%        3  org.eclipse.rdf4j.model.impl.SimpleIRI.equals
    15000000    0.12%        3  PhaseCFG::raise_above_anti_dependences
    15000000    0.12%        3  org.eclipse.rdf4j.model.base.AbstractLiteral.equals
    15000000    0.12%        3  org.eclipse.rdf4j.model.base.AbstractBNode.hashCode
    15000000    0.12%        3  org.eclipse.rdf4j.model.base.AbstractBNode.equals
    15000000    0.12%        3  IndexSet::IndexSet
    15000000    0.12%        3  IndexSet::insert
    15000000    0.12%        3  java.lang.String.checkIndex
    15000000    0.12%        3  org.eclipse.rdf4j.common.net.ParsedIRI.lambda$static$0
    15000000    0.12%        3  org.eclipse.collections.impl.map.mutable.primitive.LongLongHashMap.mask
    15000000    0.12%        3  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.put
    15000000    0.12%        3  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.addKeyValueAtIndex
    10000000    0.08%        2  PredicateBlockIterator::PredicateBlockIterator
    10000000    0.08%        2  ProjNode::Value
    10000000    0.08%        2  LIR_OpVisitState::visit
    10000000    0.08%        2  Node::rematerialize
    10000000    0.08%        2  org.eclipse.collections.impl.map.mutable.primitive.LongLongHashMap.rehash
    10000000    0.08%        2  Node::replace_edge
    10000000    0.08%        2  Node::set_req
    10000000    0.08%        2  Node::is_data_proj_of_pure_function
    10000000    0.08%        2  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.isNonSentinel
    10000000    0.08%        2  org.eclipse.rdf4j.common.net.ParsedIRI.isMember
    10000000    0.08%        2  Node::is_CFG
    10000000    0.08%        2  NullCheckEliminator::iterate_one
    10000000    0.08%        2  java.io.FilterReader.read
    10000000    0.08%        2  InitializedAssertionPredicate::is_predicate
