--- Execution profile ---
Total samples       : 5025

          ns  percent  samples  top
    25000000    0.10%        5  Dict::Insert
    20000000    0.08%        4  write
    20000000    0.08%        4  sun.misc.Unsafe.beforeMemoryAccess
    20000000    0.08%        4  Node::Node
    20000000    0.08%        4  zero_blocks_stub
    20000000    0.08%        4  SignatureStream::next
    20000000    0.08%        4  NativeNMethodBarrier::NativeNMethodBarrier
    20000000    0.08%        4  Node::set_req
    20000000    0.08%        4  RegularPredicateBlockIterator::for_each
    20000000    0.08%        4  DebugInformationRecorder::describe_scope
    20000000    0.08%        4  PhaseLive::compute
    20000000    0.08%        4  org.eclipse.rdf4j.sail.lmdb.estimate.LmdbKeyComparator.compare
    20000000    0.08%        4  inflate_table
    20000000    0.08%        4  PhaseIdealLoop::split_if_with_blocks
    20000000    0.08%        4  trampoline_stub_Relocation::get_trampoline_for
    20000000    0.08%        4  java.util.zip.ZipFile$Source.initCEN
    20000000    0.08%        4  LinkResolver::check_method_loader_constraints
    20000000    0.08%        4  PhaseCCP::push_and
    20000000    0.08%        4  CProjNode::is_CFG
    20000000    0.08%        4  PhaseCCP::push_child_nodes_to_worklist
    20000000    0.08%        4  read
    20000000    0.08%        4  PhaseIFG::remove_node
    20000000    0.08%        4  ciMethodBlocks::do_analysis
    20000000    0.08%        4  PhaseIFG::effective_degree
    20000000    0.08%        4  G1ParScanThreadState::trim_queue_to_threshold
    20000000    0.08%        4  PhaseIFG::SquareUp
    20000000    0.08%        4  MachNode::rematerialize
    20000000    0.08%        4  PhaseCFG::schedule_early
    15000000    0.06%        3  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchBasedJoinEstimator$CacheDirectory.rehash
    15000000    0.06%        3  SymbolTable::lookup_only
    15000000    0.06%        3  _xzm_xzone_malloc_tiny
    15000000    0.06%        3  sys_icache_invalidate
    15000000    0.06%        3  add_call_kills
    15000000    0.06%        3  BytecodeStream::next
    15000000    0.06%        3  java.nio.ByteBuffer.put
    15000000    0.06%        3  PhaseChaitin::stretch_base_pointer_live_ranges
    15000000    0.06%        3  PhaseCFG::raise_above_anti_dependences
    15000000    0.06%        3  PhaseCFG::partial_latency_of_defs
    15000000    0.06%        3  __semwait_signal
    15000000    0.06%        3  PhaseCCP::transform
    15000000    0.06%        3  PhaseCCP::push_more_uses
    15000000    0.06%        3  java.util.HashMap.putVal
    15000000    0.06%        3  copy_byte_f_stub
    15000000    0.06%        3  pread
    15000000    0.06%        3  Arena::Arealloc
    15000000    0.06%        3  LinearScanWalker::split_before_usage
    15000000    0.06%        3  inflate
    15000000    0.06%        3  PhaseIdealLoop::get_early_ctrl
    15000000    0.06%        3  jbyte_disjoint_arraycopy_stub
    15000000    0.06%        3  LinearScanWalker::free_collect_inactive_fixed
    15000000    0.06%        3  VectorSet::grow
    15000000    0.06%        3  PhaseIdealLoop::get_late_ctrl_with_anti_dep
    15000000    0.06%        3  ValueStack::values_do
    15000000    0.06%        3  LinearScan::resolve_data_flow
    15000000    0.06%        3  java.lang.invoke.VarForm.getMemberName
    15000000    0.06%        3  jdk.internal.loader.BuiltinClassLoader.loadClassOrNull
    15000000    0.06%        3  mach_msg2_trap
    15000000    0.06%        3  LinearScan::compute_local_live_sets
    15000000    0.06%        3  LinearScan::build_intervals
    15000000    0.06%        3  Node_Backward_Iterator::next
    15000000    0.06%        3  TypeNode::bottom_type
    15000000    0.06%        3  Dict::doubhash
    15000000    0.06%        3  java.lang.String.hashCode
    15000000    0.06%        3  CompilationPolicy::is_old
    15000000    0.06%        3  TypeInt::singleton
    15000000    0.06%        3  RegMask::overlap
    15000000    0.06%        3  ClassVerifier::verify_method
    15000000    0.06%        3  updateBytesCRC32_stub
    15000000    0.06%        3  Node::replace_edge
    15000000    0.06%        3  java.lang.Class.cast
    15000000    0.06%        3  org.eclipse.rdf4j.query.algebra.evaluation.sketch.SketchEstimatorPersistenceStore$Ref.<init>
    15000000    0.06%        3  Matcher::match_tree
    10000000    0.04%        2  ReallocMark::check
    10000000    0.04%        2  Symbol::decrement_refcount
    10000000    0.04%        2  SymbolTable::new_symbol
    10000000    0.04%        2  SystemDictionary::check_signature_loaders
    10000000    0.04%        2  org.eclipse.rdf4j.query.algebra.BinaryValueOperator.setRightArg
    10000000    0.04%        2  Type::singleton
    10000000    0.04%        2  SymbolTable::do_add_if_needed
    10000000    0.04%        2  org.eclipse.rdf4j.sail.base.SailSourceConnection.getEvaluationStrategy
    10000000    0.04%        2  org.eclipse.rdf4j.query.algebra.AbstractQueryModelNode.clone
    10000000    0.04%        2  StackMapFrame::is_assignable_to
    10000000    0.04%        2  StackMapFrame::frame_in_exception_handler
    10000000    0.04%        2  IndexSet::insert
    10000000    0.04%        2  ShouldNotReachHereNode::ideal_Opcode
    10000000    0.04%        2  SharedRuntime::find_callee_info_helper
    10000000    0.04%        2  Scheduling::DoScheduling
    10000000    0.04%        2  org.eclipse.rdf4j.sail.lmdb.LmdbEvaluationStatistics.chooseAccessPath
    10000000    0.04%        2  IndexSet::initialize
    10000000    0.04%        2  org.eclipse.rdf4j.sail.lmdb.LmdbFilterSelectivityStats.sampleFilterPassRatio
    10000000    0.04%        2  TypeInt::eq
    10000000    0.04%        2  Klass::is_subclass_of
    10000000    0.04%        2  KlassDepChange::~KlassDepChange
    10000000    0.04%        2  ImmutableOopMapSet::find_map_at_offset
    10000000    0.04%        2  RegMask::or_with
    10000000    0.04%        2  RegMask::grow
    10000000    0.04%        2  RegMask::clear_to_sets
    10000000    0.04%        2  IfNode::Ideal_common
    10000000    0.04%        2  ProjNode::is_CFG
    10000000    0.04%        2  ProjNode::Opcode
