--- Execution profile ---
Total samples       : 10921

          ns  percent  samples  top
    45000000    0.08%        9  org.eclipse.rdf4j.sail.lmdb.Varint.descriptor
    45000000    0.08%        9  PhaseChaitin::Split
    45000000    0.08%        9  java.util.concurrent.ConcurrentHashMap.putVal
    40000000    0.07%        8  vtable stub
    40000000    0.07%        8  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.spread
    40000000    0.07%        8  org.eclipse.rdf4j.sail.lmdb.IdentityValueIntCache.put
    40000000    0.07%        8  G1ConcurrentRefineOopClosure::do_oop
    40000000    0.07%        8  void OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
    40000000    0.07%        8  large_arrays_hashcode_boolean
    40000000    0.07%        8  checkcast_arraycopy
    40000000    0.07%        8  org.eclipse.collections.impl.iterator.UnmodifiableLongIterator.hasNext
    40000000    0.07%        8  org.eclipse.rdf4j.sail.lmdb.TripleStore.storeTriplesAligned
    40000000    0.07%        8  org.lwjgl.system.MemoryStack.pop
    40000000    0.07%        8  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.addKeyValueAtIndex
    40000000    0.07%        8  PhaseIdealLoop::build_loop_early
    40000000    0.07%        8  org.eclipse.collections.impl.map.mutable.primitive.ObjectIntHashMap.nullSafeEquals
    40000000    0.07%        8  org.eclipse.rdf4j.benchmark.rio.util.ThemeDataSetGenerator.generateSocialMedia
    40000000    0.07%        8  org.eclipse.collections.impl.map.mutable.primitive.ObjectLongHashMap.spread
    40000000    0.07%        8  java.util.concurrent.ConcurrentHashMap.addCount
    35000000    0.06%        7  jbyte_disjoint_arraycopy
    35000000    0.06%        7  PhaseIFG::effective_degree
    35000000    0.06%        7  org.eclipse.rdf4j.sail.lmdb.Varint.readUnsigned
    35000000    0.06%        7  org.eclipse.rdf4j.sail.lmdb.ValueStore.incrementRefCount
    35000000    0.06%        7  org.eclipse.rdf4j.sail.base.SailSourceConnection.addStatement
    35000000    0.06%        7  org.eclipse.rdf4j.sail.lmdb.PreparedStatementBatch.valueId
    35000000    0.06%        7  void OopOopIterateBoundedDispatch<G1ScanCardClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
    35000000    0.06%        7  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$BulkAddQuadsOperation.add
    35000000    0.06%        7  org.eclipse.rdf4j.sail.lmdb.ConcurrentCache.get
    35000000    0.06%        7  org.eclipse.rdf4j.benchmark.rio.util.ThemeDataSetGenerator.generateRealEstate
    35000000    0.06%        7  Node::is_CFG
    30000000    0.05%        6  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.approvePreparedBuffered
    30000000    0.05%        6  Type::Initialize_shared(Compile*)::$_0::__invoke
    30000000    0.05%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.uri2data
    30000000    0.05%        6  org.eclipse.rdf4j.benchmark.rio.util.ThemeDataSetGenerator.add
    30000000    0.05%        6  LinearScanWalker::split_before_usage
    30000000    0.05%        6  Node_Backward_Iterator::next
    30000000    0.05%        6  org.eclipse.rdf4j.sail.lmdb.TripleStore.storeTriple
    30000000    0.05%        6  PhaseIdealLoop::build_loop_tree
    30000000    0.05%        6  IndexSet::insert
    30000000    0.05%        6  org.eclipse.rdf4j.sail.lmdb.ConcurrentCache.sameKey
    30000000    0.05%        6  mach_msg2_trap
    30000000    0.05%        6  _Copy_conjoint_jlongs_atomic
    30000000    0.05%        6  java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetState
    30000000    0.05%        6  arrayof_jlong_disjoint_arraycopy
    30000000    0.05%        6  _xzm_xzone_malloc_freelist_outlined
    30000000    0.05%        6  org.eclipse.rdf4j.sail.lmdb.ValueStore.getId
    30000000    0.05%        6  void G1ScanClosureBase::handle_non_cset_obj_common<narrowOop>
    25000000    0.05%        5  Dict::Insert
    25000000    0.05%        5  __psynch_mutexwait
    25000000    0.05%        5  _tlv_get_addr
    25000000    0.05%        5  IntervalWalker::walk_to
    25000000    0.05%        5  sun.misc.Unsafe.allocateInstance
    25000000    0.05%        5  org.eclipse.rdf4j.sail.lmdb.LmdbStoreConnection.addStatementInternal
    25000000    0.05%        5  copy_byte_f
    25000000    0.05%        5  PhaseAggressiveCoalesce::insert_copies
    25000000    0.05%        5  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.sortForIndex
    25000000    0.05%        5  java.util.concurrent.atomic.AtomicLong.compareAndSet
    25000000    0.05%        5  PhaseIdealLoop::build_loop_late
    25000000    0.05%        5  PhaseChaitin::post_allocate_copy_removal
    25000000    0.05%        5  org.eclipse.rdf4j.sail.lmdb.util.IndexKeyWriters$$Lambda.0x0000000301104000.write
    25000000    0.05%        5  org.eclipse.rdf4j.sail.lmdb.Varint.readListUnsigned
    20000000    0.04%        4  Matcher::xform
    20000000    0.04%        4  org.eclipse.rdf4j.sail.lmdb.ValueStore.isOwnValue
    20000000    0.04%        4  DIR_Chunk* GrowableArrayWithAllocator<DIR_Chunk*, GrowableArray<DIR_Chunk*>>::insert_sorted<&DIR_Chunk::compare(DIR_Chunk* const&, DIR_Chunk* const&)>
    20000000    0.04%        4  TypeOopPtr::TypeOopPtr
    20000000    0.04%        4  Unique_Node_List::remove
    20000000    0.04%        4  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.approve
    20000000    0.04%        4  __gettimeofday
    20000000    0.04%        4  org.eclipse.rdf4j.sail.lmdb.LmdbSailStore$LmdbSailSink.reorder
    20000000    0.04%        4  sun.misc.Unsafe.putLong
    20000000    0.04%        4  java.lang.AbstractStringBuilder.append
    20000000    0.04%        4  java.lang.String.length
    20000000    0.04%        4  org.eclipse.rdf4j.sail.lmdb.TripleIndex.toKey
    20000000    0.04%        4  PhaseIterGVN::add_users_of_use_to_worklist
    20000000    0.04%        4  JVM_IHashCode
    20000000    0.04%        4  org.eclipse.rdf4j.repository.util.RDFInserter.addStatement
    20000000    0.04%        4  org.eclipse.rdf4j.sail.lmdb.TripleStore.logAddedStatements
    20000000    0.04%        4  InstanceKlass::find_method_index
    20000000    0.04%        4  java.nio.Buffer.flip
    20000000    0.04%        4  org.lwjgl.system.MemoryStack.push
    20000000    0.04%        4  Compile::disconnect_useless_nodes
    20000000    0.04%        4  org.eclipse.rdf4j.sail.lmdb.TripleStore.storeTriplesIndividually
